,coef,Estimate,Std. Error,z value,Pr(>|z|),sig,model
0,(Intercept),-0.0774699,0.0342835,-2.260,0.023841,*,model1_aud
1,target_z,1.3462686,0.0143331,93.927,<2e-16,***,model1_aud
2,evidence_z,0.0444520,0.0072192,6.158,7.39e-10,***,model1_aud
3,stim_1_z,-0.0478733,0.0159649,-2.999,0.002712,**,model1_aud
4,resp_1_z,0.0931686,0.0157875,5.901,3.60e-09,***,model1_aud
5,PPS_z,0.0116123,0.0326227,0.356,0.721873,,model1_aud
6,block_type_z,-0.0005066,0.0131564,-0.039,0.969286,,model1_aud
7,cue_z,0.1916313,0.0135329,14.160,<2e-16,***,model1_aud
8,resp_1_z:PPS_z,-0.0644693,0.0123314,-5.228,1.71e-07,***,model1_aud
9,resp_1_z:block_type_z,-0.0177528,0.0125099,-1.419,0.155868,,model1_aud
10,PPS_z:block_type_z,-0.0018159,0.0130953,-0.139,0.889716,,model1_aud
11,PPS_z:cue_z,-0.0453476,0.0123271,-3.679,0.000234,***,model1_aud
12,block_type_z:cue_z,0.0302968,0.0124918,2.425,0.015294,*,model1_aud
13,resp_1_z:PPS_z:block_type_z,0.0058007,0.0123007,0.472,0.637231,,model1_aud
14,PPS_z:block_type_z:cue_z,0.0107270,0.0122909,0.873,0.382797,,model1_aud
15,,,,,,,model1_aud
