,coef,Estimate,Std. Error,z value,Pr(>|z|),sig,model
0,(Intercept),-0.0035455,0.0845218,-0.042,0.96654,,model1_vis
1,target_z,0.8125084,0.0151544,53.615,<2e-16,***,model1_vis
2,coherence_z,-0.0380967,0.0132632,-2.872,0.00407,**,model1_vis
3,stim_1_z,-0.0166177,0.0160955,-1.032,0.30186,,model1_vis
4,prev_coh_z,-0.0803235,0.0756700,-1.061,0.28846,,model1_vis
5,resp_1_z,-0.2336689,0.0557568,-4.191,2.78e-05,***,model1_vis
6,PPS_z,0.0068037,0.0693115,0.098,0.92180,,model1_vis
7,block_type_z,0.0083558,0.0191129,0.437,0.66198,,model1_vis
8,cue_z,0.4688205,0.0143840,32.593,<2e-16,***,model1_vis
9,prev_coh_z:resp_1_z,-0.4715116,0.0798618,-5.904,3.55e-09,***,model1_vis
10,resp_1_z:PPS_z,-0.0724152,0.0137281,-5.275,1.33e-07,***,model1_vis
11,resp_1_z:block_type_z,-0.0379189,0.0135214,-2.804,0.00504,**,model1_vis
12,PPS_z:block_type_z,0.0259487,0.0194989,1.331,0.18326,,model1_vis
13,PPS_z:cue_z,0.0982030,0.0136987,7.169,7.57e-13,***,model1_vis
14,block_type_z:cue_z,-0.0089856,0.0134374,-0.669,0.50368,,model1_vis
15,resp_1_z:PPS_z:block_type_z,0.0303112,0.0137005,2.212,0.02694,*,model1_vis
16,PPS_z:block_type_z:cue_z,-0.0004166,0.0136668,-0.030,0.97568,,model1_vis
17,,,,,,,model1_vis
